"congresspeople","community","score1","lifetime_score1","name"
"Ayanna Pressley (D)",4,100,91,"Ayanna Pressley"
"Lizzie Fletcher (D)",4,100,100,"Lizzie Fletcher"
"Hakeem Jeffries (D)",4,100,99,"Hakeem Jeffries"
"Sean Patrick Maloney (D)",4,100,97,"Sean Patrick Maloney"
"Stephanie Bice (R)",4,15,12,"Stephanie Bice"
"Maria Salazar (R)",4,31,27,"Maria Salazar"
"Beth Van Duyne (R)",4,0,0,"Beth Van Duyne"
"Brian Babin (R)",4,0,11,"Brian Babin"
"Mario Diaz-Balart (R)",4,15,38,"Mario Diaz-Balart"
"Vicky Hartzler (R)",4,8,14,"Vicky Hartzler"
"Andy Biggs (R)",4,0,13,"Andy Biggs"
"Ann Wagner (R)",4,8,15,"Ann Wagner"
"Rick Crawford (R)",4,0,13,"Rick Crawford"
"Ted Budd (R)",4,8,8,"Ted Budd"
"Mo Brooks (R)",4,0,9,"Mo Brooks"
"Rand Paul (R)",4,0,10,"Rand Paul"
"Chip Roy (R)",4,0,7,"Chip Roy"
"Carol Miller (R)",4,0,18,"Carol Miller"
"Ashley Hinson (R)",4,8,9,"Ashley Hinson"
"Michael Waltz (R)",4,8,18,"Michael Waltz"
"Russ Fulcher (R)",4,0,8,"Russ Fulcher"
"Claudia Tenney (R)",4,8,20,"Claudia Tenney"
"Jennifer Wexton (D)",4,100,100,"Jennifer Wexton"
"Bill Foster (D)",4,100,95,"Bill Foster"
"Dan Kildee (D)",4,100,98,"Dan Kildee"
"Kathy Castor (D)",4,100,97,"Kathy Castor"
"Barry Moore (R)",4,0,0,"Barry Moore"
"Bill Posey (R)",4,8,12,"Bill Posey"
"Burgess Owens (R)",4,8,6,"Burgess Owens"
"Clay Higgins (R)",4,0,9,"Clay Higgins"
"Scott Franklin (R)",4,0,0,"Scott Franklin"
"Byron Donalds (R)",4,0,0,"Byron Donalds"
"Cindy Hyde-Smith (R)",4,10,18,"Cindy Hyde-Smith"
